crop_type,yield_per_acre,sowing_date,harvest_date,soil_nutrient_levels,rainfall,temperature,farmer_id,subsidy_amount,disbursement_date,soil type,crop name,location,Amount paid,Water usage(Litres),Electricity,Workers,Number of Acres
cotton,44.04,5/15/2022,7/27/2021,low,15.21,85.74,1,7455.39,11/26/2021,Alluvial,Wheat,Karnataka,3400,425,FALSE,8,245
wheat,55.62,10-03-2021,8/21/2021,high,3.28,-18.76,2,3867.69,11/20/2020,Red,Areca nut,Bihar,9744,613,TRUE,1,632
corn,78.97,06-05-2022,9/20/2021,low,10.66,55.86,3,4989.23,4/25/2021,Desert,Wheat,Odisha,3431,679,FALSE,6,739
wheat,43.6,1/18/2022,10-06-2022,high,35.15,45,4,9557.91,9/29/2021,Saline,Mustard,Andhra Pradesh,1890,356,TRUE,2,141
soybeans,62.02,9/24/2022,9/24/2022,high,14.27,100.92,5,891.8,03-04-2021,Alluvial,Sunflower,Madhya Pradesh,9810,866,TRUE,10,511
cotton,96,5/26/2022,11/27/2021,high,38.81,54.74,6,8074.65,02-07-2022,Desert,Tobacco,Tamil Nadu,1186,881,FALSE,4,88
cotton,78.97,3/17/2021,3/27/2022,low,16.63,71.08,7,1333.8,11/30/2021,Desert,Rice,Andhra Pradesh,7535,65,FALSE,2,561
wheat,75.48,5/15/2020,02-06-2022,medium,44.25,93.61,8,3105.89,1/20/2021,Black,Chili,Assam,5516,408,TRUE,10,495
cotton,39.37,7/13/2022,4/16/2022,medium,22.04,51.8,9,2172.77,02-12-2022,Peaty,Tea,Uttarakhand,3333,377,TRUE,3,376
wheat,74.86,5/26/2022,8/28/2020,medium,37.58,78.82,10,3888.26,1/20/2022,Red,Tur (Pigeon Pea),Rajasthan,1125,398,FALSE,5,775
soybeans,8.73,8/16/2021,11/25/2020,high,9.6,84.63,11,7838.61,8/18/2021,Peaty,Cashew,Gujarat,7002,749,FALSE,5,24
rice,7.95,07-06-2022,07-08-2020,medium,12.4,9.55,12,4146.59,12/13/2020,Black,Apple,Uttar Pradesh,3204,962,TRUE,5,354
rice,36.1,11-07-2020,9/24/2022,high,39.87,79.52,13,7906.99,12-12-2021,Alluvial,Groundnut,Uttar Pradesh,4649,681,FALSE,8,713
cotton,71.2,12/13/2022,09-02-2021,high,29.65,93.29,14,1630.49,05-03-2021,Laterite,Sorghum,Telangana,6278,637,TRUE,10,556
cotton,55.81,11-11-2021,12-10-2020,high,9.65,118.3,15,6637.91,10-12-2021,Clayey,Ragi,Himachal Pradesh,5756,664,TRUE,6,796
soybeans,86.81,9/19/2021,9/17/2020,medium,17.15,29.44,16,8595.34,8/13/2020,Mountain,Sorghum,Himachal Pradesh,1967,875,FALSE,4,782
soybeans,20.51,01-12-2021,5/15/2022,medium,42.49,108.04,17,5344.48,08-09-2022,Black,Peach,Karnataka,7020,920,TRUE,1,421
rice,52.59,1/24/2020,10-08-2021,medium,30.5,-14.04,18,9660.42,3/22/2022,Clayey,Barley,Haryana,2754,487,FALSE,3,726
cotton,67.34,3/13/2020,11-03-2022,medium,29.74,37.43,19,3996.79,5/14/2022,Loamy,Coriander,Tamil Nadu,5900,653,TRUE,7,272
wheat,15.53,03-07-2021,7/28/2020,high,7.8,62.87,20,22.29,06-02-2021,Peaty,Barley,Karnataka,2426,197,FALSE,9,442
soybeans,30.49,2/25/2020,1/19/2021,low,20.57,4.29,21,9414.57,6/16/2022,Peaty,Onion,Bihar,5928,480,TRUE,6,136
rice,67.59,02-09-2020,04-12-2022,medium,15.14,38.21,22,9930.72,8/23/2022,Desert,Rice,Rajasthan,4170,973,FALSE,9,718
wheat,2.28,6/15/2022,11-08-2022,low,42.46,86.18,23,2563.33,11-12-2022,Mountain,Peanut,Bihar,610,28,FALSE,3,933
cotton,84.47,3/21/2022,10/14/2022,medium,16.44,33.51,24,9960.05,3/22/2022,Saline,Plum,Uttar Pradesh,9477,216,TRUE,3,370
wheat,69.4,1/21/2022,6/27/2022,high,41.21,94.34,25,8214.53,1/18/2022,Red,Maize,Madhya Pradesh,2552,673,TRUE,10,307
rice,55.73,08-08-2022,07-08-2021,high,27.36,43.45,26,6079.93,11-01-2022,Clayey,Ragi,Himachal Pradesh,1834,441,FALSE,6,801
soybeans,60.91,06-07-2021,3/28/2022,medium,36.63,117.46,27,2242.25,8/31/2022,Clayey,Cashew,Himachal Pradesh,1011,386,FALSE,9,138
rice,86.14,06-08-2022,4/30/2020,high,30.37,-3.46,28,3512.6,10/28/2021,Mountain,Guar,Telangana,6972,545,TRUE,4,677
cotton,20.21,09-08-2020,3/16/2020,low,46.72,112.72,29,9289.15,11-04-2021,Laterite,Peach,Gujarat,1238,278,FALSE,8,137
soybeans,5.06,07-02-2020,03-05-2020,high,47.18,-18.19,30,7071.79,11/16/2020,Loamy,Cabbage,Haryana,4324,201,TRUE,1,168
wheat,5.87,10-05-2020,04-12-2020,low,40.83,114.7,31,4068.29,1/13/2020,Mountain,Chickpea,Odisha,3643,68,TRUE,6,789
corn,82.92,9/16/2020,1/13/2020,medium,41.86,56.09,32,4762.23,4/28/2022,Laterite,Ragi,Uttarakhand,6910,442,FALSE,2,756
rice,62.68,03-09-2022,11/15/2021,low,19.01,16.54,33,9363.33,9/20/2020,Red,Sesame,Karnataka,7880,129,TRUE,7,136
soybeans,54.72,8/15/2022,05-05-2021,low,21.07,104.67,34,1784.08,11-04-2020,Desert,Lentil,Bihar,8497,395,TRUE,2,587
rice,30.97,09-01-2021,10/19/2020,medium,9.66,46.64,35,1796.74,4/24/2021,Loamy,Coffee,Andhra Pradesh,9468,4,FALSE,2,845
cotton,28.92,9/21/2020,09-10-2022,medium,26.85,118.46,36,3545.39,03-11-2022,Desert,Tea,Uttar Pradesh,3883,934,FALSE,10,107
rice,83.47,07-05-2021,06-07-2022,high,27.54,12.62,37,5996.9,05-09-2022,Red,Millets,Uttarakhand,8255,715,TRUE,10,195
cotton,30.37,3/17/2020,05-03-2020,low,16.54,58.96,38,5922.98,7/16/2021,Clayey,Sesame,Himachal Pradesh,1397,490,TRUE,7,191
cotton,31.49,6/28/2021,09-12-2020,high,17.51,100.42,39,1429.46,2/20/2022,Red,Tur (Pigeon Pea),Maharashtra,9601,832,FALSE,3,848
rice,73.5,8/29/2022,9/28/2022,low,41.96,111.56,40,2457.5,1/20/2022,Alluvial,Vegetables,Rajasthan,929,21,FALSE,4,330
corn,3.7,3/20/2020,10-11-2020,high,18.04,41.03,41,3501.42,5/15/2022,Peaty,Onion,Odisha,4496,703,FALSE,2,565
soybeans,1.81,12-12-2022,8/20/2020,high,36.56,53.9,42,2507.03,02-01-2022,Black,Coriander,Uttarakhand,5013,836,TRUE,8,931
wheat,31.72,04-08-2021,8/29/2020,high,38.91,61.12,43,1546.3,12/20/2020,Desert,Cashew,Kerala,1620,927,FALSE,2,202
soybeans,13.77,4/19/2021,10/20/2021,low,44.47,10.86,44,4959.61,02-09-2022,Mountain,Bajra (Pearl Millet),Jammu and Kashmir,1019,763,FALSE,8,994
rice,69.66,10/30/2021,11/27/2020,high,26.04,5.82,45,240.73,2/17/2020,Clayey,Pulses,Assam,3482,307,FALSE,1,83
cotton,93.62,10/21/2020,05-08-2022,medium,3.09,39.87,46,5635.77,12/17/2020,Peaty,Mustard,Andhra Pradesh,5526,121,TRUE,1,965
cotton,83.33,6/29/2022,12/17/2021,medium,40.46,94.95,47,9301.13,4/25/2021,Laterite,Ragi,Uttarakhand,7240,656,FALSE,4,474
wheat,91.87,09-02-2022,11/20/2020,low,43.88,111.48,48,3240.75,08-02-2022,Loamy,Peach,Andhra Pradesh,4093,548,FALSE,9,797
soybeans,39.99,05-04-2020,2/21/2022,high,40.57,41.56,49,7782.38,11-05-2020,Laterite,Tea,Chhattisgarh,6576,150,TRUE,3,72
wheat,7.97,02-12-2022,12-09-2022,low,8.12,61.4,50,5963.21,7/16/2022,Desert,Barley,Assam,6837,234,FALSE,5,91
cotton,57.39,1/21/2020,12-11-2021,medium,20.53,98.94,51,5688.57,09-05-2022,Peaty,Sugarcane,Haryana,5300,368,TRUE,4,922
corn,71.73,8/15/2022,5/28/2020,low,46.31,-13.39,52,814.37,09-04-2022,Desert,Ragi,Andhra Pradesh,9857,622,FALSE,2,957
corn,48.15,5/26/2022,6/30/2022,low,25.83,76.38,53,8998.5,07-03-2021,Alluvial,Potato,Chhattisgarh,4150,515,FALSE,10,38
soybeans,35.03,3/27/2020,7/13/2022,medium,31.54,40.51,54,8178.55,08-05-2020,Red,Groundnut,Madhya Pradesh,3820,743,TRUE,1,769
soybeans,91.45,5/30/2021,04-08-2022,medium,34.8,-15.61,55,1348.98,12/15/2022,Red,Plum,Bihar,4264,442,FALSE,7,644
soybeans,3.09,05-12-2021,1/30/2020,high,14.05,114.27,56,6778.7,2/17/2021,Desert,Guar,Maharashtra,4879,82,FALSE,7,922
wheat,32.87,05-05-2020,10/14/2022,high,12.96,-2.36,57,8974.85,02-11-2022,Laterite,Mustard,West Bengal,8922,14,FALSE,4,716
rice,47.12,11-05-2021,3/28/2022,medium,21.77,36.3,58,6204.05,03-10-2020,Black,Onion,Madhya Pradesh,3674,375,TRUE,8,582
cotton,85.82,11-11-2020,05-06-2021,high,0.43,45.07,59,5021.04,05-03-2020,Red,Sugarcane,Chhattisgarh,5430,300,TRUE,6,417
corn,85.99,4/20/2020,04-04-2020,high,18.4,99.25,60,6671.79,02-12-2022,Clayey,Sesame,Andhra Pradesh,6096,954,TRUE,9,459
soybeans,31.06,5/29/2021,1/17/2020,medium,30.63,76.46,61,452.75,06-12-2021,Loamy,Groundnut,Uttar Pradesh,6245,176,FALSE,4,963
cotton,62.28,01-04-2021,1/22/2022,low,21.29,-18,62,9950.91,11/18/2020,Peaty,Mustard,Jammu and Kashmir,8297,431,FALSE,6,436
soybeans,42.04,06-09-2022,05-07-2021,medium,8.87,68.85,63,3396.09,1/18/2022,Black,Rice,Himachal Pradesh,891,572,FALSE,7,774
wheat,5,10/22/2020,12/19/2020,medium,39.45,26.32,64,7343.91,12/17/2020,Clayey,Apple,Karnataka,6673,180,TRUE,5,395
soybeans,32.32,1/21/2022,04-02-2020,high,39.63,75.67,65,2296.08,01-12-2022,Peaty,Tobacco,Uttar Pradesh,9835,513,TRUE,1,301
soybeans,92.21,01-01-2022,8/18/2022,high,42.66,13.54,66,1720.4,11-04-2021,Black,Lentil,Andhra Pradesh,5416,451,TRUE,4,998
corn,95.58,4/30/2020,6/19/2021,high,35.97,71.08,67,7092.58,04-09-2022,Laterite,Rice,Jammu and Kashmir,5759,799,TRUE,5,788
rice,31.21,1/22/2021,8/31/2020,low,30.01,13,68,827.09,08-05-2022,Clayey,Soybean,Bihar,769,924,TRUE,3,46
soybeans,53.9,10/30/2021,03-04-2022,high,17.01,119.43,69,4086.64,1/22/2021,Alluvial,Ragi,Assam,5755,20,FALSE,7,824
corn,84.16,7/29/2020,10/22/2021,high,6.51,107.09,70,8565.01,07-07-2022,Laterite,Sorghum,Bihar,5830,631,TRUE,9,825
rice,42.46,12-06-2022,4/23/2022,low,5.61,102.85,71,9401.6,7/31/2022,Loamy,Peanut,Madhya Pradesh,2334,577,TRUE,3,911
wheat,2.19,7/29/2020,10/30/2022,medium,31.85,35.69,72,1439.97,05-06-2022,Alluvial,Sorghum,Himachal Pradesh,1159,377,FALSE,7,158
wheat,87.82,4/20/2020,4/21/2020,high,43.78,71.86,73,7794.22,7/29/2020,Mountain,Millets,Punjab,2487,578,TRUE,10,79
