User_ID,Age,Gender,Location,Occupation,Marital_Status,Education_Level,Income_Level,Device_Type,App_Download_Source,Region,App_Name,Screen_Time,Session_Count,Notifications_Received,Time_Spent_Per_Session,App_Installs,App_Version,Usage_Patterns,Peak_Usage_Times,Break_Intervals,Usage_Frequency,App_Addiction_Level,Engagement_Level,Social_Interaction,App_Purpose,Content_Type,Average_Interaction_Time,Sleep_Disruption,Distraction_Level
U0001,26,Male,Port Lisa,Unemployed,Single,Postgraduate,High,Android,Other,North,Facebook,181,4,46,8,Yes,Latest,Regular,Morning,10 mins every hour,Weekly,Invalid,74,26,Work,Text Posts,29,1,3
U0002,26,Female,Langbury,Student,Single,Postgraduate,High,iOS,Google Play,East,Facebook,269,12,36,27,Invalid,Latest,Regular,Morning,5 mins every hour,Daily,9999,14,384,Education,Text Posts,5,10,8
U0003,57,Other,Port Marystad,Retired,Single,Postgraduate,High,iOS,Apple Store,South,Twitter,Invalid,4,7,19,Yes,v1.1,Binge,Afternoon,None,Daily,15,59,220,Socializing,Photos,21,5,8
U0004,27,Male,Michellebury,Professional,Married,High School,High,Tablet,Google Play,East,Twitter,299,19,5,9,Invalid,v1.1,Regular,Night,10 mins every hour,Weekly,9999,44,179,News,Text Posts,29,5,10
U0005,-1,Male,Lake Victoria,Retired,Married,High School,High,Android,Apple Store,North,Facebook,292,8,22,8,No,v1.2,Rare,Afternoon,10 mins every hour,Weekly,Invalid,20,344,News,Photos,8,1,3
U0006,38,Female,Wilsonbury,Student,Widowed,Undergraduate,Low,Android,Google Play,North,Instagram,234,14,45,7,No,Beta,Regular,Evening,None,Daily,36,68,215,Entertainment,Videos,10,7,2
U0007,18,Invalid,Kimberlyview,Retired,Married,Undergraduate,Low,Tablet,Other,South,Instagram,75,2,22,7,Yes,v1.2,Regular,Afternoon,None,Daily,56,19,325,Entertainment,Photos,14,8,1
U0008,Invalid,Other,Flemingchester,Unemployed,Married,Undergraduate,High,Android,Google Play,West,TikTok,Invalid,19,42,12,No,Beta,Rare,Evening,None,Daily,56,56,324,Work,Videos,5,7,2
U0009,24,Female,West Mary,Retired,Married,High School,Low,Tablet,Apple Store,West,WhatsApp,45,17,25,17,Yes,v1.0,Binge,Night,5 mins every hour,Monthly,50,24,192,Socializing,Text Posts,17,5,4
U0010,59,Male,East Nathanland,Student,Married,High School,High,Tablet,Apple Store,North,Twitter,106,17,24,15,No,Latest,Binge,Evening,None,Monthly,9999,88,42,Socializing,Photos,24,1,9
